api-1  | {"correlation_id": "019d5c2e-9cd5-7b0f-9de1-4de557a214ff", "event_id": "UUID('019d5c2e-9ce5-76e8-867f-a449e1bf5067')", "total_latency_ms": 153.8, "db_insert_ms": 96.9, "redis_enqueue_ms": 152.8, "idempotency_set_ms": 153.8, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:32.088128Z"}
api-1  | {"correlation_id": "019d5c2e-9cdb-71e9-a698-ad626f8752b2", "event_id": "UUID('019d5c2e-9cea-7548-9f6d-6ef4c536ce67')", "total_latency_ms": 160.91, "db_insert_ms": 158.7, "redis_enqueue_ms": 159.5, "idempotency_set_ms": 160.9, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:32.096633Z"}
api-1  | {"correlation_id": "019d5c2e-9cdc-71d8-9d75-61b66908a026", "event_id": "UUID('019d5c2e-9cec-7387-a3b1-70fedb46e04f')", "total_latency_ms": 163.07, "db_insert_ms": 162.1, "redis_enqueue_ms": 162.6, "idempotency_set_ms": 163.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:32.101639Z"}
api-3  | {"correlation_id": "019d5c2e-a531-7039-8fd9-1011b2771983", "event_id": "UUID('019d5c2e-a538-7421-83d9-ad3de0f5f5c2')", "total_latency_ms": 53.13, "db_insert_ms": 52.1, "redis_enqueue_ms": 52.6, "idempotency_set_ms": 53.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.123150Z"}
api-3  | {"correlation_id": "019d5c2e-a56c-7df7-ac36-edd5f63dd11e", "event_id": "UUID('019d5c2e-a56d-75ae-9115-5ec9860979f7')", "total_latency_ms": 54.07, "db_insert_ms": 51.1, "redis_enqueue_ms": 53.7, "idempotency_set_ms": 54.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.179432Z"}
api-3  | {"correlation_id": "019d5c2e-a597-75b7-b629-18cc0ac4b134", "event_id": "UUID('019d5c2e-a59c-7631-bcb7-52f1b5390c73')", "total_latency_ms": 184.11, "db_insert_ms": 183.3, "redis_enqueue_ms": 183.7, "idempotency_set_ms": 184.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.352815Z"}
api-4  | {"correlation_id": "019d5c2e-9d32-761c-896e-757583e727fc", "event_id": "UUID('019d5c2e-9d34-768d-8d37-70ba5ea1425d')", "total_latency_ms": 63.56, "db_insert_ms": 61.8, "redis_enqueue_ms": 62.9, "idempotency_set_ms": 63.6, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:32.082993Z"}
api-4  | {"correlation_id": "019d5c2e-9d22-72f3-9c28-1433d45755a6", "event_id": "UUID('019d5c2e-9d25-7638-af6b-70882aad1bf9')", "total_latency_ms": 141.08, "db_insert_ms": 140.2, "redis_enqueue_ms": 140.6, "idempotency_set_ms": 141.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:32.144943Z"}
api-4  | {"correlation_id": "019d5c2e-9d6a-7340-ad74-7c52118bcaa5", "event_id": "UUID('019d5c2e-9d6c-7f13-8a25-89323039482b')", "total_latency_ms": 77.27, "db_insert_ms": 76.4, "redis_enqueue_ms": 76.9, "idempotency_set_ms": 77.3, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:32.153318Z"}
api-4  | {"correlation_id": "019d5c2e-a090-7fd6-ad82-3cff46e2cc9b", "event_id": "UUID('019d5c2e-a093-7ea1-8cd2-623a6c496ddc')", "total_latency_ms": 77.71, "db_insert_ms": 75.5, "redis_enqueue_ms": 76.0, "idempotency_set_ms": 77.7, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:32.958882Z"}
api-4  | {"correlation_id": "019d5c2e-a096-7215-91f5-d5bf0ccd0276", "event_id": "UUID('019d5c2e-a0a8-7b28-b10d-664856a64d7d')", "total_latency_ms": 73.06, "redis_enqueue_ms": 71.3, "idempotency_set_ms": 73.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:32.971245Z"}
api-4  | {"correlation_id": "019d5c2e-a09f-7f91-a22a-89798362cd4e", "event_id": "UUID('019d5c2e-a0b1-7a3c-91d4-1efa1b5c326e')", "total_latency_ms": 82.2, "db_insert_ms": 78.7, "redis_enqueue_ms": 81.2, "idempotency_set_ms": 82.2, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:32.982102Z"}
api-4  | {"correlation_id": "019d5c2e-a0af-7ab5-924f-04a1be3133d1", "event_id": "UUID('019d5c2e-a0b5-7c61-b0df-4e523c7cfdaf')", "total_latency_ms": 72.12, "db_insert_ms": 68.8, "redis_enqueue_ms": 70.8, "idempotency_set_ms": 72.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:32.987481Z"}
api-4  | {"correlation_id": "019d5c2e-a0a1-7cb2-b01d-fe6eb12e2dee", "event_id": "UUID('019d5c2e-a0aa-743b-ba7f-55688ade4367')", "total_latency_ms": 84.73, "db_insert_ms": 82.3, "redis_enqueue_ms": 83.7, "idempotency_set_ms": 84.7, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:32.989430Z"}
api-4  | {"correlation_id": "019d5c2e-a092-7590-aa17-82d25ba1ac9d", "event_id": "UUID('019d5c2e-a094-7600-a390-57375c503d18')", "total_latency_ms": 141.37, "db_insert_ms": 140.1, "redis_enqueue_ms": 141.0, "idempotency_set_ms": 141.4, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:33.025678Z"}
api-4  | {"correlation_id": "019d5c2e-a0d8-74ad-993a-a6ab1e12856b", "event_id": "UUID('019d5c2e-a0da-702d-bad4-a6c175e348a2')", "total_latency_ms": 78.81, "db_insert_ms": 78.0, "redis_enqueue_ms": 78.4, "idempotency_set_ms": 78.8, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:33.032436Z"}
api-1  | {"correlation_id": "019d5c2e-a47f-79f3-830c-e09856936d30", "event_id": "UUID('019d5c2e-a481-791b-862d-51b9ae4e0b40')", "total_latency_ms": 70.35, "redis_enqueue_ms": 69.2, "idempotency_set_ms": 70.3, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:33.958380Z"}
api-1  | {"correlation_id": "019d5c2e-a488-7dcc-ae46-94da1e547c03", "event_id": "UUID('019d5c2e-a49f-703e-9849-d5fd32d94c0b')", "total_latency_ms": 146.43, "db_insert_ms": 67.0, "redis_enqueue_ms": 144.4, "idempotency_set_ms": 146.4, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.052215Z"}
api-1  | {"correlation_id": "019d5c2e-a4db-7301-99ac-47eb8c7c1a7d", "event_id": "UUID('019d5c2e-a514-76cb-a7b2-775749f264f6')", "total_latency_ms": 63.97, "db_insert_ms": 61.2, "redis_enqueue_ms": 61.8, "idempotency_set_ms": 64.0, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.054225Z"}
api-1  | {"correlation_id": "019d5c2e-a4cd-7d3b-b8ab-3bf495d4cc9e", "event_id": "UUID('019d5c2e-a50e-7d6f-ba39-8e2b104d8b3f')", "total_latency_ms": 72.96, "db_insert_ms": 67.7, "redis_enqueue_ms": 72.1, "idempotency_set_ms": 73.0, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.056426Z"}
api-1  | {"correlation_id": "019d5c2e-a4dc-7673-935d-7a76c785aaa1", "event_id": "UUID('019d5c2e-a515-743e-b0d4-91ca2139b244')", "total_latency_ms": 64.25, "db_insert_ms": 62.3, "redis_enqueue_ms": 63.4, "idempotency_set_ms": 64.2, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.061286Z"}
api-1  | {"correlation_id": "019d5c2e-a513-7d39-875a-bae6cd41c5a8", "event_id": "UUID('019d5c2e-a51f-7e31-af4c-a7822ad866c3')", "total_latency_ms": 186.24, "db_insert_ms": 185.3, "redis_enqueue_ms": 185.8, "idempotency_set_ms": 186.2, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.232028Z"}
api-1  | {"correlation_id": "019d5c2e-a523-7ad2-9796-80e6ca813ae8", "event_id": "UUID('019d5c2e-a529-7e2e-98c0-0cbfefc57cfc')", "total_latency_ms": 202.08, "db_insert_ms": 107.6, "redis_enqueue_ms": 199.3, "idempotency_set_ms": 202.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.257915Z"}
api-1  | {"correlation_id": "019d5c2e-a48b-7402-ba5a-dbd1f46376af", "event_id": "UUID('019d5c2e-a4b1-7a3f-a524-03163424ac34')", "total_latency_ms": 348.04, "db_insert_ms": 347.0, "redis_enqueue_ms": 347.6, "idempotency_set_ms": 348.0, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.269423Z"}
api-1  | {"correlation_id": "019d5c2e-a48a-785f-b98e-552a991e0fc7", "event_id": "UUID('019d5c2e-a4a9-7f57-b167-19b0343c7679')", "total_latency_ms": 358.08, "db_insert_ms": 357.3, "redis_enqueue_ms": 357.7, "idempotency_set_ms": 358.1, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.278643Z"}
api-1  | {"correlation_id": "019d5c2e-a489-7bb1-a569-dae871252fda", "event_id": "UUID('019d5c2e-a4b8-7490-b6f0-1b2e15976472')", "total_latency_ms": 435.85, "db_insert_ms": 433.7, "redis_enqueue_ms": 434.1, "idempotency_set_ms": 435.8, "event": "slow_request_steps", "level": "warning", "timestamp": "2026-04-05T05:47:34.348959Z"}
